Timestamp;net_out
2016-11-26 19:22:00;1.63333333333
2016-11-26 19:23:00;4.73333333333
2016-11-26 19:24:00;3.4
2016-11-26 19:25:00;3.81666666667
2016-11-26 19:26:00;43.4666666667
2016-11-26 19:27:00;4.06666666667
2016-11-26 19:28:00;3.55
2016-11-26 19:29:00;3.86666666667
2016-11-26 19:30:00;3.15
2016-11-26 19:31:00;43.8833333333
2016-11-26 19:32:00;3.3
2016-11-26 19:33:00;3.96666666667
2016-11-26 19:34:00;2.78333333333
2016-11-26 19:35:00;3.45
2016-11-26 19:36:00;40.6166666667
2016-11-26 19:37:00;3.55
2016-11-26 19:38:00;2.53333333333
2016-11-26 19:39:00;3.78333333333
2016-11-26 19:40:00;5.65
2016-11-26 19:41:00;37.1833333333
2016-11-26 19:42:00;2.7
2016-11-26 19:43:00;3.93333333333
2016-11-26 19:44:00;3.16666666667
2016-11-26 19:45:00;20.5333333333
2016-11-26 19:46:00;21.1833333333
2016-11-26 19:47:00;3.8
2016-11-26 19:48:00;2.13333333333
2016-11-26 19:49:00;4.1
2016-11-26 19:50:00;32.4166666667
2016-11-26 19:51:00;7.75
2016-11-26 19:52:00;2.26666666667
2016-11-26 19:53:00;3.03333333333
2016-11-26 19:54:00;1.56666666667
2016-11-26 19:55:00;17.45
2016-11-26 19:56:00;26.05
2016-11-26 19:57:00;201.65
2016-11-26 19:58:00;201.216666667
2016-11-26 19:59:00;207.3
2016-11-26 20:00:00;227.666666667
2016-11-26 20:01:00;242.683333333
2016-11-26 20:02:00;317.266666667
2016-11-26 20:03:00;318.966666667
2016-11-26 20:04:00;331.383333333
2016-11-26 20:05:00;335.85
2016-11-26 20:06:00;350.8
2016-11-26 20:07:00;230.25
2016-11-26 20:08:00;232.416666667
2016-11-26 20:09:00;229.65
2016-11-26 20:10:00;125.05
2016-11-26 20:11:00;115.333333333
2016-11-26 20:12:00;99.8166666667
2016-11-26 20:13:00;98.8166666667
2016-11-26 20:14:00;99.7666666667
2016-11-26 20:15:00;30.2333333333
2016-11-26 20:16:00;175.0
2016-11-26 20:17:00;209.966666667
2016-11-26 20:18:00;217.216666667
2016-11-26 20:19:00;218.2
2016-11-26 20:20:00;227.316666667
2016-11-26 20:21:00;313.316666667
2016-11-26 20:22:00;318.5
2016-11-26 20:23:00;330.65
2016-11-26 20:24:00;334.7
2016-11-26 20:25:00;149.083333333
2016-11-26 20:26:00;124.366666667
2016-11-26 20:27:00;101.283333333
2016-11-26 20:28:00;104.7
2016-11-26 20:29:00;104.316666667
2016-11-26 20:30:00;63.0666666667
2016-11-26 20:31:00;4.35
2016-11-26 20:32:00;4.4
2016-11-26 20:33:00;3.91666666667
2016-11-26 20:34:00;4.11666666667
2016-11-26 20:35:00;54.5666666667
2016-11-26 20:36:00;2.75
2016-11-26 20:37:00;1.46666666667
2016-11-26 20:38:00;2.13333333333
2016-11-26 20:39:00;1.33333333333
2016-11-26 20:40:00;27.9166666667
2016-11-26 20:41:00;77.3666666667
2016-11-26 20:42:00;203.55
2016-11-26 20:43:00;207.45
2016-11-26 20:44:00;211.6
2016-11-26 20:45:00;218.05
2016-11-26 20:46:00;286.55
2016-11-26 20:47:00;312.383333333
2016-11-26 20:48:00;325.216666667
2016-11-26 20:49:00;321.733333333
2016-11-26 20:50:00;335.633333333
2016-11-26 20:51:00;328.616666667
2016-11-26 20:52:00;228.916666667
2016-11-26 20:53:00;235.416666667
2016-11-26 20:54:00;228.633333333
2016-11-26 20:55:00;125.65
2016-11-26 20:56:00;118.883333333
2016-11-26 20:57:00;97.7
2016-11-26 20:58:00;101.55
2016-11-26 20:59:00;96.5833333333
2016-11-26 21:00:00;31.0
2016-11-26 21:01:00;185.733333333
2016-11-26 21:02:00;218.633333333
2016-11-26 21:03:00;199.166666667
2016-11-26 21:04:00;221.566666667
2016-11-26 21:05:00;219.433333333
2016-11-26 21:06:00;106.083333333
2016-11-26 21:07:00;256.9
2016-11-26 21:08:00;251.55
2016-11-26 21:09:00;269.8
2016-11-26 21:10:00;260.6
2016-11-26 21:11:00;85.45
2016-11-26 21:12:00;113.75
2016-11-26 21:13:00;114.65
2016-11-26 21:14:00;116.9
2016-11-26 21:15:00;108.083333333
2016-11-26 21:16:00;70.6666666667
2016-11-26 21:17:00;110.3
2016-11-26 21:18:00;74.5833333333
2016-11-26 21:19:00;52.05
2016-11-26 21:20:00;45.2833333333
2016-11-26 21:21:00;30.7333333333
2016-11-26 21:22:00;47.95
2016-11-26 21:23:00;27.1166666667
2016-11-26 21:24:00;124.483333333
2016-11-26 21:25:00;207.533333333
2016-11-26 21:26:00;210.95
2016-11-26 21:27:00;219.816666667
2016-11-26 21:28:00;109.983333333
2016-11-26 21:29:00;189.466666667
2016-11-26 21:30:00;251.116666667
2016-11-26 21:31:00;261.333333333
2016-11-26 21:32:00;152.333333333
2016-11-26 21:33:00;201.333333333
2016-11-26 21:34:00;121.316666667
2016-11-26 21:35:00;54.0833333333
2016-11-26 21:36:00;56.2833333333
2016-11-26 21:37:00;25.9
2016-11-26 21:38:00;44.55
2016-11-26 21:39:00;21.5833333333
2016-11-26 21:40:00;163.966666667
2016-11-26 21:41:00;208.433333333
2016-11-26 21:42:00;206.166666667
2016-11-26 21:43:00;216.066666667
2016-11-26 21:44:00;218.483333333
2016-11-26 21:45:00;312.083333333
2016-11-26 21:46:00;330.6
2016-11-26 21:47:00;132.633333333
2016-11-26 21:48:00;259.766666667
2016-11-26 21:49:00;251.316666667
2016-11-26 21:50:00;148.783333333
2016-11-26 21:51:00;107.716666667
2016-11-26 21:52:00;27.0
2016-11-26 21:53:00;53.5666666667
2016-11-26 21:54:00;49.45
2016-11-26 21:55:00;12.8833333333
2016-11-26 21:56:00;197.666666667
2016-11-26 21:57:00;205.316666667
2016-11-26 21:58:00;204.216666667
2016-11-26 21:59:00;221.233333333
2016-11-26 22:00:00;231.066666667
2016-11-26 22:01:00;314.1
2016-11-26 22:02:00;313.083333333
2016-11-26 22:03:00;230.116666667
2016-11-26 22:04:00;263.6
2016-11-26 22:05:00;262.183333333
2016-11-26 22:06:00;125.566666667
2016-11-26 22:07:00;103.833333333
2016-11-26 22:08:00;64.9
2016-11-26 22:09:00;53.0333333333
2016-11-26 22:10:00;52.05
